system:index,mean,.geo
20200103T14_0,7.322937249227834E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T15_0,9.695053099676443E-4,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T16_0,0.0011617898940130544,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T17_0,0.0012114703654333425,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T18_0,0.0012253284453436208,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T19_0,0.0012510776518865896,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T20_0,0.0012760221957250906,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T21_0,0.0012846350668951345,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T22_0,0.0012863636015936208,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200103T23_0,0.001287227868942864,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T00_0,0.001287227868942864,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T01_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T02_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T03_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T04_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T05_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T06_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T07_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T08_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T09_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T10_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T11_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T12_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T13_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T14_0,8.183717625342979E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T15_0,1.192390908499874E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T16_0,1.47253273894421E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T17_0,1.738469745760085E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T18_0,2.0172543372609653E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T19_0,2.485315945932598E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T20_0,2.8294207140788785E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T21_0,2.914488322858233E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T22_0,3.001150344061898E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200104T23_0,3.08608696286683E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T00_0,3.1728117164675496E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T01_0,1.6745179891586304E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T02_0,4.205852746963501E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T03_0,5.066394805908203E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T04_0,5.923211574554443E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T05_0,6.787478923797607E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T06_0,6.787478923797607E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T07_0,8.501112461090088E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T08_0,1.1160969734191895E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T09_0,1.2010335922241211E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T10_0,1.3649463653564453E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T11_0,1.5273690223693848E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T12_0,1.783967007895626E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T13_0,2.120733250876583E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T14_0,3.1921267407142295E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T15_0,4.007220258017696E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T16_0,4.087686528464474E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T17_0,4.3365359204017295E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T18_0,8.169114579459347E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T19_0,8.280873294097546E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T20_0,8.280873294097546E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T21_0,8.367866189473716E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T22_0,8.366550099481174E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200105T23_0,8.448000761518415E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T00_0,8.448000761518415E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T01_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T02_0,0.0,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T03_0,7.674098014831543E-7,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T04_0,7.674098014831543E-7,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T05_0,7.674098014831543E-7,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T06_0,7.674098014831543E-7,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T07_0,7.674098014831543E-7,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T08_0,7.674098014831543E-7,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T09_0,7.674098014831543E-7,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T10_0,1.6272067000500101E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T11_0,1.6272067000500101E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T12_0,1.6272067000500101E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T13_0,1.6272067000500101E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T14_0,1.6272067000500101E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T15_0,1.6272067000500101E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T16_0,1.6272067000500101E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T17_0,2.461671726905479E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T18_0,6.663799183570518E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T19_0,6.663799183570518E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T20_0,2.126693715354122E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T21_0,2.3025274174415244E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T22_0,2.3025274174415244E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200106T23_0,2.3800134556495323E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T00_0,4.62114809920422E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T01_0,7.459893822669983E-6,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T02_0,1.1667609214782715E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T03_0,1.2569129467010498E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T04_0,1.3064593076705933E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T05_0,2.6226043701171875E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
20200107T06_0,2.7216970920562744E-5,"{""type"":""Point"",""coordinates"":[2.3522,48.8566]}"
